seed,method,m,amplitude,local_eff,E_m
6,poisson_branch,6,1.0956708580912724,90308.0,0.20217002161696948
6,poisson_branch,7,1.0,35444.0,0.011075399387295848
6,poisson_branch,8,0.9043291419087276,17690.0,0.07186178821435231
6,poisson_branch,9,0.8232233047033631,7415.0,0.15575382204958663
6,poisson_branch,10,0.7690301168721784,4524.0,0.21842455607534603
6,poisson_branch,11,0.75,5862.0,0.17134081317151414
6,poisson_branch,12,0.7690301168721784,4929.0,0.14845593211658384
6,poisson_branch,13,0.823223304703363,11212.0,0.27655942645736814
6,poisson_branch,14,0.9043291419087274,15948.0,0.033688422925780115
6,poisson_branch,15,0.9999999999999999,35891.0,0.023826519563457556
7,weighted,0,1.0956708580912724,15.352736595271752,0.12993235149140536
7,weighted,1,1.176776695296637,19.285340309220075,0.086301924177909
7,weighted,2,1.2309698831278217,11.683165761835255,0.028914376747200786
7,weighted,3,1.25,15.219884402193617,0.4838098615589479
7,weighted,4,1.2309698831278217,12.789875487514712,0.0808414360394291
